Sentence,Bug,Design,Feature,Improvement
find bugs,1,0,0,0
find bugs,1,0,0,0
find bugs,1,0,0,0
find bugs,1,0,0,0
find issue with bug label,1,0,0,0
find task with bug label,1,0,0,0
find ticket with bug label,1,0,0,0
find item with bug label,1,0,0,0
find issue labeled with bug,1,0,0,0
find task labeled with bug,1,0,0,0
find ticket labeled with bug,1,0,0,0
find item labeled with bug,1,0,0,0
find issue labeled as bug,1,0,0,0
find task labeled as bug,1,0,0,0
find ticket labeled as bug,1,0,0,0
find item labeled as bug,1,0,0,0
display bugs,1,0,0,0
display bugs,1,0,0,0
display bugs,1,0,0,0
display bugs,1,0,0,0
display issue with bug label,1,0,0,0
display task with bug label,1,0,0,0
display ticket with bug label,1,0,0,0
display item with bug label,1,0,0,0
display issue labeled with bug,1,0,0,0
display task labeled with bug,1,0,0,0
display ticket labeled with bug,1,0,0,0
display item labeled with bug,1,0,0,0
display issue labeled as bug,1,0,0,0
display task labeled as bug,1,0,0,0
display ticket labeled as bug,1,0,0,0
display item labeled as bug,1,0,0,0
get bugs,1,0,0,0
get bugs,1,0,0,0
get bugs,1,0,0,0
get bugs,1,0,0,0
get issue with bug label,1,0,0,0
get task with bug label,1,0,0,0
get ticket with bug label,1,0,0,0
get item with bug label,1,0,0,0
get issue labeled with bug,1,0,0,0
get task labeled with bug,1,0,0,0
get ticket labeled with bug,1,0,0,0
get item labeled with bug,1,0,0,0
get issue labeled as bug,1,0,0,0
get task labeled as bug,1,0,0,0
get ticket labeled as bug,1,0,0,0
get item labeled as bug,1,0,0,0
fetch bugs,1,0,0,0
fetch bugs,1,0,0,0
fetch bugs,1,0,0,0
fetch bugs,1,0,0,0
fetch issue with bug label,1,0,0,0
fetch task with bug label,1,0,0,0
fetch ticket with bug label,1,0,0,0
fetch item with bug label,1,0,0,0
fetch issue labeled with bug,1,0,0,0
fetch task labeled with bug,1,0,0,0
fetch ticket labeled with bug,1,0,0,0
fetch item labeled with bug,1,0,0,0
fetch issue labeled as bug,1,0,0,0
fetch task labeled as bug,1,0,0,0
fetch ticket labeled as bug,1,0,0,0
fetch item labeled as bug,1,0,0,0
load bugs,1,0,0,0
load bugs,1,0,0,0
load bugs,1,0,0,0
load bugs,1,0,0,0
load issue with bug label,1,0,0,0
load task with bug label,1,0,0,0
load ticket with bug label,1,0,0,0
load item with bug label,1,0,0,0
load issue labeled with bug,1,0,0,0
load task labeled with bug,1,0,0,0
load ticket labeled with bug,1,0,0,0
load item labeled with bug,1,0,0,0
load issue labeled as bug,1,0,0,0
load task labeled as bug,1,0,0,0
load ticket labeled as bug,1,0,0,0
load item labeled as bug,1,0,0,0
exclude bugs,-1,0,0,0
exclude bugs,-1,0,0,0
exclude bugs,-1,0,0,0
exclude bugs,-1,0,0,0
filter out bugs,-1,0,0,0
filter out bugs,-1,0,0,0
filter out bugs,-1,0,0,0
filter out bugs,-1,0,0,0
cut out bugs,-1,0,0,0
cut out bugs,-1,0,0,0
cut out bugs,-1,0,0,0
cut out bugs,-1,0,0,0
keep out bugs,-1,0,0,0
keep out bugs,-1,0,0,0
keep out bugs,-1,0,0,0
keep out bugs,-1,0,0,0
exclude issue with bug label,-1,0,0,0
exclude task with bug label,-1,0,0,0
exclude ticket with bug label,-1,0,0,0
exclude item with bug label,-1,0,0,0
filter out issue with bug label,-1,0,0,0
filter out task with bug label,-1,0,0,0
filter out ticket with bug label,-1,0,0,0
filter out item with bug label,-1,0,0,0
