Sentence,NoPriority,Low,Medium,High,Urgent
find issue where priority is urgent,0,0,0,0,1
find urgent priority issue,0,0,0,0,1
find issue with urgent priority,0,0,0,0,1
find task where priority is urgent,0,0,0,0,1
find urgent priority task,0,0,0,0,1
find task with urgent priority,0,0,0,0,1
find ticket where priority is urgent,0,0,0,0,1
find urgent priority ticket,0,0,0,0,1
find ticket with urgent priority,0,0,0,0,1
find item where priority is urgent,0,0,0,0,1
find urgent priority item,0,0,0,0,1
find item with urgent priority,0,0,0,0,1
display issue where priority is urgent,0,0,0,0,1
display urgent priority issue,0,0,0,0,1
display issue with urgent priority,0,0,0,0,1
display task where priority is urgent,0,0,0,0,1
display urgent priority task,0,0,0,0,1
display task with urgent priority,0,0,0,0,1
display ticket where priority is urgent,0,0,0,0,1
display urgent priority ticket,0,0,0,0,1
display ticket with urgent priority,0,0,0,0,1
display item where priority is urgent,0,0,0,0,1
display urgent priority item,0,0,0,0,1
display item with urgent priority,0,0,0,0,1
get issue where priority is urgent,0,0,0,0,1
get urgent priority issue,0,0,0,0,1
get issue with urgent priority,0,0,0,0,1
get task where priority is urgent,0,0,0,0,1
get urgent priority task,0,0,0,0,1
get task with urgent priority,0,0,0,0,1
get ticket where priority is urgent,0,0,0,0,1
get urgent priority ticket,0,0,0,0,1
get ticket with urgent priority,0,0,0,0,1
get item where priority is urgent,0,0,0,0,1
get urgent priority item,0,0,0,0,1
get item with urgent priority,0,0,0,0,1
fetch issue where priority is urgent,0,0,0,0,1
fetch urgent priority issue,0,0,0,0,1
fetch issue with urgent priority,0,0,0,0,1
fetch task where priority is urgent,0,0,0,0,1
fetch urgent priority task,0,0,0,0,1
fetch task with urgent priority,0,0,0,0,1
fetch ticket where priority is urgent,0,0,0,0,1
fetch urgent priority ticket,0,0,0,0,1
fetch ticket with urgent priority,0,0,0,0,1
fetch item where priority is urgent,0,0,0,0,1
fetch urgent priority item,0,0,0,0,1
fetch item with urgent priority,0,0,0,0,1
load issue where priority is urgent,0,0,0,0,1
load urgent priority issue,0,0,0,0,1
load issue with urgent priority,0,0,0,0,1
load task where priority is urgent,0,0,0,0,1
load urgent priority task,0,0,0,0,1
load task with urgent priority,0,0,0,0,1
load ticket where priority is urgent,0,0,0,0,1
load urgent priority ticket,0,0,0,0,1
load ticket with urgent priority,0,0,0,0,1
load item where priority is urgent,0,0,0,0,1
load urgent priority item,0,0,0,0,1
load item with urgent priority,0,0,0,0,1
exclude urgent priority issue,0,0,0,0,-1
exclude issue where priority is urgent,0,0,0,0,-1
exclude issue with urgent priority,0,0,0,0,-1
exclude urgent priority task,0,0,0,0,-1
exclude task where priority is urgent,0,0,0,0,-1
exclude task with urgent priority,0,0,0,0,-1
exclude urgent priority ticket,0,0,0,0,-1
exclude ticket where priority is urgent,0,0,0,0,-1
exclude ticket with urgent priority,0,0,0,0,-1
exclude urgent priority item,0,0,0,0,-1
exclude item where priority is urgent,0,0,0,0,-1
exclude item with urgent priority,0,0,0,0,-1
filter out urgent priority issue,0,0,0,0,-1
filter out issue where priority is urgent,0,0,0,0,-1
filter out issue with urgent priority,0,0,0,0,-1
filter out urgent priority task,0,0,0,0,-1
filter out task where priority is urgent,0,0,0,0,-1
filter out task with urgent priority,0,0,0,0,-1
filter out urgent priority ticket,0,0,0,0,-1
filter out ticket where priority is urgent,0,0,0,0,-1
filter out ticket with urgent priority,0,0,0,0,-1
filter out urgent priority item,0,0,0,0,-1
filter out item where priority is urgent,0,0,0,0,-1
filter out item with urgent priority,0,0,0,0,-1
cut out urgent priority issue,0,0,0,0,-1
cut out issue where priority is urgent,0,0,0,0,-1
cut out issue with urgent priority,0,0,0,0,-1
cut out urgent priority task,0,0,0,0,-1
cut out task where priority is urgent,0,0,0,0,-1
cut out task with urgent priority,0,0,0,0,-1
cut out urgent priority ticket,0,0,0,0,-1
cut out ticket where priority is urgent,0,0,0,0,-1
cut out ticket with urgent priority,0,0,0,0,-1
cut out urgent priority item,0,0,0,0,-1
cut out item where priority is urgent,0,0,0,0,-1
cut out item with urgent priority,0,0,0,0,-1
keep out urgent priority issue,0,0,0,0,-1
keep out issue where priority is urgent,0,0,0,0,-1
keep out issue with urgent priority,0,0,0,0,-1
keep out urgent priority task,0,0,0,0,-1
