Sentence,Backlog,Unstarted,Started,Completed,Cancelled
find issue where status is cancelled,0,0,0,0,1
find task where status is cancelled,0,0,0,0,1
find ticket where status is cancelled,0,0,0,0,1
find item where status is cancelled,0,0,0,0,1
display issue where status is cancelled,0,0,0,0,1
display task where status is cancelled,0,0,0,0,1
display ticket where status is cancelled,0,0,0,0,1
display item where status is cancelled,0,0,0,0,1
get issue where status is cancelled,0,0,0,0,1
get task where status is cancelled,0,0,0,0,1
get ticket where status is cancelled,0,0,0,0,1
get item where status is cancelled,0,0,0,0,1
fetch issue where status is cancelled,0,0,0,0,1
fetch task where status is cancelled,0,0,0,0,1
fetch ticket where status is cancelled,0,0,0,0,1
fetch item where status is cancelled,0,0,0,0,1
load issue where status is cancelled,0,0,0,0,1
load task where status is cancelled,0,0,0,0,1
load ticket where status is cancelled,0,0,0,0,1
load item where status is cancelled,0,0,0,0,1
find issue with cancelled status,0,0,0,0,1
find task with cancelled status,0,0,0,0,1
find ticket with cancelled status,0,0,0,0,1
find item with cancelled status,0,0,0,0,1
display issue with cancelled status,0,0,0,0,1
display task with cancelled status,0,0,0,0,1
display ticket with cancelled status,0,0,0,0,1
display item with cancelled status,0,0,0,0,1
get issue with cancelled status,0,0,0,0,1
get task with cancelled status,0,0,0,0,1
get ticket with cancelled status,0,0,0,0,1
get item with cancelled status,0,0,0,0,1
fetch issue with cancelled status,0,0,0,0,1
fetch task with cancelled status,0,0,0,0,1
fetch ticket with cancelled status,0,0,0,0,1
fetch item with cancelled status,0,0,0,0,1
load issue with cancelled status,0,0,0,0,1
load task with cancelled status,0,0,0,0,1
load ticket with cancelled status,0,0,0,0,1
load item with cancelled status,0,0,0,0,1
find cancelled issue,0,0,0,0,1
find cancelled task,0,0,0,0,1
find cancelled ticket,0,0,0,0,1
find cancelled item,0,0,0,0,1
display cancelled issue,0,0,0,0,1
display cancelled task,0,0,0,0,1
display cancelled ticket,0,0,0,0,1
display cancelled item,0,0,0,0,1
get cancelled issue,0,0,0,0,1
get cancelled task,0,0,0,0,1
get cancelled ticket,0,0,0,0,1
get cancelled item,0,0,0,0,1
fetch cancelled issue,0,0,0,0,1
fetch cancelled task,0,0,0,0,1
fetch cancelled ticket,0,0,0,0,1
fetch cancelled item,0,0,0,0,1
load cancelled issue,0,0,0,0,1
load cancelled task,0,0,0,0,1
load cancelled ticket,0,0,0,0,1
load cancelled item,0,0,0,0,1
cancelled issue,0,0,0,0,1
cancelled task,0,0,0,0,1
cancelled ticket,0,0,0,0,1
cancelled item,0,0,0,0,1
cancelled issue,0,0,0,0,1
cancelled task,0,0,0,0,1
cancelled ticket,0,0,0,0,1
cancelled item,0,0,0,0,1
cancelled issue,0,0,0,0,1
cancelled task,0,0,0,0,1
cancelled ticket,0,0,0,0,1
cancelled item,0,0,0,0,1
cancelled issue,0,0,0,0,1
cancelled task,0,0,0,0,1
cancelled ticket,0,0,0,0,1
cancelled item,0,0,0,0,1
cancelled issue,0,0,0,0,1
cancelled task,0,0,0,0,1
cancelled ticket,0,0,0,0,1
cancelled item,0,0,0,0,1
exclude issue where status is cancelled,0,0,0,0,-1
exclude task where status is cancelled,0,0,0,0,-1
exclude ticket where status is cancelled,0,0,0,0,-1
exclude item where status is cancelled,0,0,0,0,-1
filter out issue where status is cancelled,0,0,0,0,-1
filter out task where status is cancelled,0,0,0,0,-1
filter out ticket where status is cancelled,0,0,0,0,-1
filter out item where status is cancelled,0,0,0,0,-1
cut out issue where status is cancelled,0,0,0,0,-1
cut out task where status is cancelled,0,0,0,0,-1
cut out ticket where status is cancelled,0,0,0,0,-1
